,001-L,001-R,002-L,002-R,003-L,003-R,004-L,004-R,005-L,005-R,006-L,006-R,007-L,007-R,008-L,008-R,009-L,009-R,010-L,010-R,011-L,011-R,012-L,012-R,013-L,013-R,014-L,014-R,015-L,015-R,016-L,016-R,017-L,017-R,018-L,018-R,019-L,019-R,020-L,020-R,021-L,021-R,022-L,022-R,023-L,023-R,024-L,024-R,025-L,025-R,026-L,026-R,027-L,027-R,028-L,028-R,029-L,029-R,030-L,030-R,031-L,031-R,032-L,032-R,033-L,033-R,034-L,034-R,035-L,035-R,036-L,036-R,037-L,037-R,038-L,038-R,039-L,039-R,040-L,040-R,041-L,041-R,042-L,042-R,043-L,043-R,044-L,044-R,045-L,045-R,046-L,046-R,047-L,047-R,048-L,048-R,049-L,049-R,050-L,050-R,051-L,051-R,052-L,052-R,053-L,053-R,054-L,054-R,055-L,055-R,056-L,056-R,057-L,057-R,058-L,058-R,059-L,059-R,060-L,060-R,061-L,061-R,062-L,062-R,063-L,063-R,064-L,064-R,065-L,065-R,066-L,066-R,067-L,067-R,068-L,068-R,069-L,069-R,070-L,070-R,071-L,071-R,072-L,072-R,073-L,073-R,074-L,074-R,075-L,075-R,,,,,
18500,56.6241,58.6973,61.2661,68.8535,61.8632,64.1438,51.6143,69.4162,47.2793,75.5542,63.3129,58.5261,70.3545,75.7030,77.3292,57.2097,73.1320,66.2916,67.3456,63.5471,60.0045,61.1118,61.4521,72.0575,75.0375,69.7523,65.9646,57.9642,67.8078,66.4151,55.1539,74.4139,69.6384,72.3367,50.2320,64.8263,65.7060,77.4651,66.6942,64.7980,67.8635,64.7980,76.8922,75.2853,72.3441,60.7033,66.4924,46.8319,67.2443,70.8276,57.4997,66.1592,58.8314,71.7392,62.4777,70.0269,65.4011,73.8328,62.3375,52.3912,67.7590,77.0253,58.9348,69.1434,65.7781,70.7776,73.9997,77.0215,68.4744,71.9004,61.2178,72.2595,72.9961,72.1254,56.7838,64.0780,63.0391,66.4271,67.4558,66.9885,61.2855,73.8077,71.7074,68.0425,68.3798,74.7290,75.8321,69.7095,71.5532,73.4991,58.3263,59.0355,62.1906,68.2476,64.4647,69.2474,66.9501,68.5423,66.5610,65.0954,71.3333,69.2454,65.4850,74.0395,68.0187,69.3880,70.4927,58.9923,63.4523,71.6607,65.4101,68.7635,67.7431,67.9579,67.4807,59.8773,72.3893,68.0127,67.7236,68.3510,66.1862,65.5697,63.2453,73.8270,61.9362,64.8847,64.4861,70.6649,70.2542,66.5381,73.1785,66.7530,66.7293,64.7564,57.7254,67.7788,59.4840,70.6395,60.8657,63.2579,73.6807,66.7644,68.8679,68.6601,66.8910,74.1459,68.4082,69.7677,63.9075,69.1307,,,,,
18600,56.2287,59.4175,62.3807,69.2740,61.3959,63.4417,53.9633,69.4196,49.7337,75.4270,62.1973,60.7512,70.8912,75.7353,76.7394,56.0794,72.9670,67.1633,67.3238,63.5277,60.3452,61.0196,61.5872,72.0815,75.2079,69.8768,65.6263,57.9058,67.7973,66.4164,56.2386,74.2752,70.0791,71.8140,50.7661,65.0928,66.4232,77.9845,66.9115,63.9270,67.8342,63.9270,76.5933,75.3415,72.3611,58.1100,67.1020,39.5603,66.8705,70.3759,58.2773,65.9609,59.3376,71.5190,63.4939,69.2932,65.3718,74.1667,62.5501,52.2700,66.9447,77.0664,59.9873,68.6703,65.3256,70.7333,74.1162,77.0755,69.0208,71.9106,60.9170,72.0571,72.8501,72.4977,56.8450,64.3818,63.2871,65.8973,67.0904,66.6425,60.9235,73.9748,71.6239,67.8674,68.7425,74.4367,76.2662,70.5779,70.6649,74.0579,56.8096,58.8850,62.9072,67.1804,65.2635,69.0671,66.8045,68.1664,67.6736,65.6117,71.3106,69.0601,66.3441,73.8404,68.2365,69.1407,70.7135,59.4599,63.2394,71.7031,66.8143,68.4052,67.5371,67.9787,67.7803,62.1809,72.5738,67.6174,67.9128,68.5957,67.5874,66.6137,63.1636,73.8004,61.7559,64.5528,65.2558,70.7001,70.1291,66.0240,72.7463,66.5063,66.3684,64.9590,58.4840,68.1477,60.0003,70.6667,60.2075,63.4082,73.8933,66.1254,69.7686,68.5802,66.6521,74.0245,68.3065,69.3526,63.4337,68.9544,,,,,
18700,55.9276,60.2175,63.6419,69.6781,60.9192,62.7684,56.0816,69.4803,51.8318,75.2388,60.9016,62.4853,71.3364,75.7362,75.9799,54.7668,72.7156,68.0166,67.2588,63.4611,60.5718,60.9675,61.6381,72.1070,75.3220,70.0274,65.2280,57.8428,67.7829,66.4212,57.5090,74.1365,70.4614,71.1605,51.4300,65.3578,67.1238,78.4525,67.1321,63.0675,67.7766,63.0675,76.2750,75.3791,72.3609,54.5700,67.6519,45.1108,66.6970,69.8305,59.0154,65.7606,59.9044,71.2941,64.5807,68.3747,65.3152,74.4958,62.9091,52.3050,66.2189,77.1472,60.7669,68.0721,64.9558,70.6997,74.2701,77.0598,69.6704,71.9064,61.1440,71.7727,72.6653,72.7901,57.3375,64.7740,63.4460,65.4248,66.7178,66.2539,60.6767,74.1325,71.4558,67.6357,69.0799,74.0979,76.6733,71.3505,69.6995,74.4688,54.8109,58.9743,63.3841,65.9939,66.0039,68.8768,66.6830,67.7806,68.6993,66.0754,71.2746,68.8357,67.0855,73.5981,68.5747,68.8811,70.8821,60.0636,62.9690,71.6787,68.1190,68.0049,67.3958,67.9704,68.1142,63.9407,72.6629,67.1897,68.0661,68.8503,68.5738,67.5618,63.0729,73.6997,61.5797,64.2179,65.9456,70.6903,69.9848,65.4616,72.3707,66.2718,65.9853,65.0763,59.4217,68.5179,60.4184,70.7153,59.5147,63.5934,74.0475,65.4298,70.6100,68.5011,66.3910,73.9007,68.1675,68.9404,62.9996,68.7670,,,,,
18800,55.7269,61.0577,64.9629,70.0768,60.4365,62.1259,57.9475,69.5748,53.6461,74.9916,59.3752,63.9048,71.6967,75.7132,75.0765,53.3402,72.3858,68.8278,67.1645,63.3893,60.7236,60.9298,61.5970,72.1328,75.3887,70.2027,64.7580,57.7754,67.7645,66.4299,58.8259,73.9976,70.7829,70.3798,52.2308,65.6106,67.7913,78.8394,67.3407,62.2323,67.6943,62.2323,75.9526,75.3975,72.3395,52.6248,68.1511,51.1905,66.7287,69.1599,59.7100,65.5458,60.5400,71.0844,65.6734,67.2380,65.2319,74.8242,63.4105,52.5106,65.5808,77.2786,61.2957,67.3471,64.7108,70.6640,74.4625,76.9811,70.3812,71.8883,61.8671,71.4120,72.4410,72.9980,58.0107,65.1955,63.4846,64.9404,66.3449,65.8064,60.5827,74.2703,71.2159,67.3238,69.3876,73.7167,77.0638,72.0139,68.6483,74.7320,52.1269,59.3649,63.6578,64.8444,66.6962,68.6840,66.6072,67.3914,69.6485,66.4769,71.2243,68.5910,67.7099,73.3061,69.0234,68.6054,70.9917,60.9187,62.6459,71.5973,69.3163,67.5575,67.3079,67.9290,68.4789,65.3044,72.6698,66.7260,68.1927,69.1218,69.2547,68.3997,63.0007,73.5147,61.3883,63.8828,66.5539,70.6429,69.8095,64.9126,72.0507,66.0391,65.5803,65.1136,60.4664,68.8951,60.7676,70.7656,58.7963,63.8253,74.1556,64.7303,71.3896,68.4218,66.1075,73.7684,67.9749,68.5340,62.5754,68.5665,,,,,
18900,55.6261,61.9236,66.2709,70.4598,59.9526,61.5216,59.5911,69.7141,55.2362,74.6913,57.5349,65.0867,71.9810,75.6714,74.0426,52.0861,71.9875,69.5849,67.0350,63.2263,60.8153,60.8754,61.4617,72.1599,75.4286,70.4012,64.2043,57.6951,67.7513,66.4425,60.0954,73.8666,71.0467,69.4640,53.1188,65.8481,68.4136,79.1475,67.5154,61.4329,67.5934,61.4329,75.6460,75.3958,72.2947,56.3590,68.6056,55.0027,66.9274,68.2938,60.3577,65.3552,61.2290,70.9139,66.7257,65.8711,65.1044,75.1542,64.0297,52.7753,65.0319,77.4625,61.6170,66.4958,64.6842,70.6277,74.6937,76.8545,71.0849,71.8589,62.8952,70.9960,72.1712,73.1198,58.6749,65.6090,63.4372,64.5482,65.9541,65.3712,60.6594,74.3915,70.9150,66.8966,69.6646,73.2882,77.4442,72.6169,67.4934,74.8644,48.9117,60.0353,63.7750,63.9932,67.3491,68.4957,66.5999,67.0077,70.5265,66.8042,71.1589,68.3375,68.2188,72.9793,69.5630,68.3120,71.0345,61.6583,62.2713,71.4680,70.3810,67.0562,67.2616,67.8509,68.8730,66.3630,72.6071,66.2210,68.2990,69.4057,69.7156,69.1278,62.9833,73.2374,61.1955,63.5522,67.0837,70.5522,69.5929,64.3679,71.7822,65.8375,65.1522,65.0747,61.5569,69.2791,61.0367,70.8047,58.0724,64.0994,74.2314,64.1459,72.1061,68.3419,65.7623,73.6273,67.7369,68.1373,62.1690,68.3529,,,,,
19000,55.6185,62.7966,67.5045,70.8079,59.4768,60.9285,61.0439,69.8942,56.6371,74.3620,55.2396,66.0838,72.2012,75.6133,72.9395,51.4092,71.5371,70.2823,66.8655,63.0289,60.8262,60.8555,61.2295,72.1875,75.4433,70.6204,63.5632,57.5908,67.7147,66.4562,61.2404,73.7399,71.2596,68.3967,54.0434,66.0683,68.9803,79.3819,67.6162,60.6809,67.4842,60.6809,75.3834,75.3727,72.2249,60.4312,69.0199,57.7193,67.2398,67.1712,60.9490,65.1774,61.9714,70.8055,67.7083,64.3169,64.9678,75.4905,64.7318,53.0598,64.5807,77.6897,61.7598,65.5033,64.8461,70.5910,74.9577,76.7005,71.7769,71.8547,64.0212,70.5381,71.8510,73.1584,59.3112,65.9885,63.3604,64.2081,65.5730,64.8463,60.8909,74.5029,70.5610,66.3004,69.9172,72.8103,77.7962,73.1349,66.3373,74.8931,48.2122,60.9315,63.7640,63.6769,67.9701,68.3251,66.6784,66.6407,71.3324,67.0470,71.0775,68.0852,68.6182,72.6247,70.1994,67.9939,71.0022,62.3942,61.8381,71.2985,71.3209,66.4947,67.2467,67.7521,69.2930,67.1821,72.4861,65.6675,68.3891,69.7060,70.0149,69.7535,63.0660,72.8626,61.0028,63.2325,67.5666,70.4777,69.3339,63.8422,71.5605,65.6316,64.6995,64.9681,62.6689,69.6643,61.2352,70.8236,57.3814,64.4167,74.2783,63.8649,72.7559,68.2607,65.4756,73.4761,67.4539,67.7544,61.7874,68.1244,,,,,
19100,55.7586,63.6665,68.6120,71.1007,59.0199,60.3811,62.3308,70.1105,57.8594,73.9529,52.2417,66.9326,72.3696,75.5413,71.7909,51.5790,71.0466,70.9189,66.6509,62.7860,60.7816,60.6685,60.8998,72.2142,75.4419,70.8576,62.8257,57.4506,67.6697,66.4767,62.3610,73.6118,71.4242,67.1478,54.9593,66.2600,69.4971,79.5508,67.5973,59.9870,67.3751,59.9870,75.1856,75.3264,72.1306,63.4813,69.3963,59.7865,67.6176,65.6747,61.4722,65.0076,62.7631,70.7699,68.6050,62.7259,64.7907,75.8323,65.4784,53.3770,64.1712,77.9389,61.7637,64.4894,65.1492,70.5544,75.2442,76.5355,72.3993,71.7540,65.1039,70.0608,71.4774,73.1202,59.8410,66.3082,63.2638,63.9142,65.1953,64.2576,61.2470,74.6128,70.1583,65.4510,70.1424,72.2802,78.1100,73.5737,64.9907,74.8483,51.7621,61.9496,63.6725,63.8782,68.5669,68.1349,66.8438,66.3029,72.0613,67.2257,70.9823,67.8442,68.9158,72.2481,70.8190,67.6502,70.8866,63.0936,61.3368,71.0949,72.1284,65.8670,67.2546,67.5700,69.6966,67.8134,72.3161,65.0562,68.4606,70.0199,70.2017,70.2874,63.2983,72.3853,60.8129,62.9340,68.0013,70.3559,69.0200,63.3616,71.3810,65.4166,64.2194,64.7995,63.7277,70.0405,61.3698,70.8161,56.7830,64.7739,74.3070,64.0681,73.3329,68.1766,65.1315,73.3133,67.1331,67.3890,61.4356,67.8771,,,,,
19200,55.8729,64.5260,69.5342,71.3243,58.5916,59.8904,63.4706,70.3548,58.9539,73.5221,48.0799,67.6593,72.4965,75.4505,70.6367,52.4136,70.5263,71.4963,66.3862,62.5344,60.7007,60.4508,60.4737,72.2393,75.4310,71.1060,62.0172,57.2791,67.6105,66.5030,63.3162,73.4860,71.5464,65.6550,55.8339,66.4390,69.9585,79.6775,67.4112,59.3608,67.2823,59.3608,75.0741,75.2544,72.0150,65.7758,69.7330,61.3087,68.0245,63.6522,61.9232,64.8565,63.6046,70.8144,69.3733,61.4986,64.5755,76.1834,66.2352,53.7404,63.8262,78.1761,61.7378,63.4212,65.5577,70.5184,75.5397,76.3773,72.9506,71.6899,66.0752,69.5859,71.0508,73.0135,60.2752,66.5609,63.2022,63.7097,64.8212,63.5993,61.6946,74.7276,69.7099,64.2135,70.3345,71.6923,78.3664,73.9453,63.5783,74.7571,55.3823,62.9889,63.5225,64.3793,69.1379,67.9768,67.0915,66.0064,72.7072,67.3461,70.8731,67.6253,69.1225,71.8547,71.4516,67.2780,70.6840,63.7339,60.7557,70.8623,72.7984,65.1678,67.2784,67.3452,70.0886,68.2993,72.1042,64.3746,68.5298,70.3467,70.2925,70.7416,63.7145,71.8040,60.6320,62.6730,68.3917,70.2112,68.6616,62.9531,71.2436,65.1763,63.7089,64.5780,64.7342,70.3954,61.4461,70.7787,56.3618,65.1618,74.3254,64.7612,73.8242,68.0939,64.7653,73.1330,66.7869,67.0445,61.1176,67.6120,,,,,
19300,56.0835,65.3696,70.2779,71.4791,58.2038,59.4606,64.4800,70.6135,59.9290,73.0678,43.0343,68.2826,72.5919,75.3444,69.5042,53.5250,69.9846,72.0168,66.0665,62.3381,60.6266,60.2219,59.9584,72.2603,75.4146,71.3778,61.2155,57.0668,67.5309,66.5322,64.0830,73.3639,71.6386,63.8513,56.6453,66.5955,70.3673,79.7626,67.0285,58.8114,67.2226,58.8114,75.0658,75.1570,71.8826,67.5405,70.0317,62.6113,68.4376,61.0123,62.2897,64.7235,64.5023,70.9275,70.0459,61.1687,64.3184,76.5322,66.9732,54.1375,63.5307,78.3491,61.7338,62.4546,66.0194,70.4842,75.8296,76.2390,73.4333,71.6175,66.9107,69.1295,70.5734,72.8475,60.6241,66.7485,62.9973,63.4987,64.4500,62.8620,62.1855,74.8504,69.2158,62.3643,70.4898,71.0430,78.5416,74.2585,62.1277,74.6409,58.2105,64.0165,63.3331,64.9825,69.6871,67.8368,67.4106,65.7624,73.2652,67.3828,70.7445,67.4319,69.2486,71.4501,72.0643,66.8763,70.3881,64.3709,60.0828,70.6068,73.3288,64.3930,67.3126,67.0989,70.4444,68.6768,71.8427,63.6076,68.5903,70.6857,70.3112,71.1285,64.3066,71.1166,60.4759,62.4680,68.7498,70.0467,68.2598,62.6341,71.1269,64.8881,63.1645,64.3083,65.6759,70.7161,61.4759,70.7086,56.2042,65.5727,74.3367,65.8061,74.2239,68.0149,64.3765,72.9518,66.4289,66.7188,60.8359,67.3201,,,,,
19400,56.3511,66.1924,70.8247,71.5522,57.8516,59.1118,65.3509,70.8734,60.7944,72.5908,44.7146,68.8208,72.6638,75.2199,68.4264,54.6693,69.4150,72.4835,65.6874,61.9616,60.6185,59.9163,59.3581,72.2715,75.3967,71.6643,60.5943,56.8073,67.4235,66.5644,64.6909,73.2431,71.7149,61.7061,57.3809,66.7279,70.7295,79.8220,66.4531,58.3439,67.2116,58.3439,75.1623,75.0540,71.7396,68.9141,70.2918,63.6132,68.8510,58.5789,62.5568,64.6025,65.4337,71.0955,70.5899,61.8256,64.0138,76.8761,67.6687,54.5261,63.2728,78.4311,61.8855,61.7581,66.4861,70.4545,76.1016,76.1299,73.8544,71.5378,67.6091,68.7040,70.0646,72.6318,60.8994,66.8820,62.7373,63.3379,64.0791,62.0361,62.6879,74.9786,68.6753,59.5308,70.6017,70.3216,78.6182,74.5206,60.7382,74.5153,60.4048,65.0077,63.1101,65.5775,70.2161,67.7160,67.7583,65.5878,73.7345,67.3727,70.6025,67.2702,69.3046,71.0411,72.6341,66.4543,70.0082,64.8901,59.3099,70.3244,73.7223,63.5402,67.3569,66.8795,70.7431,68.9513,71.5129,62.7347,68.6418,71.0358,70.2709,71.4600,65.0613,70.3273,60.3157,62.3392,69.0823,69.8617,67.8236,62.4242,71.0380,64.5232,62.5826,63.9893,66.5381,70.9907,61.4706,70.6052,56.3687,65.9898,74.3449,66.9221,74.5152,67.9240,63.9632,72.7301,66.0834,66.4288,60.5936,66.9972,,,,,
19500,56.6651,66.9517,71.1913,71.5752,57.5615,58.8743,66.0920,71.1222,61.5613,72.0984,49.2038,69.2824,72.7168,75.0743,67.4321,55.6968,68.8271,72.8994,65.2454,61.5452,60.6493,59.6583,58.6932,72.2690,75.3830,71.9572,60.4127,56.5102,67.2784,66.5982,65.1485,73.1258,71.7734,59.2609,58.0341,66.8446,71.0482,79.8664,65.6754,57.9606,67.2605,57.9606,75.3571,74.8624,71.5915,69.9875,70.5108,64.3690,69.2536,59.3139,62.7357,64.4910,66.3838,71.3037,71.0136,63.0093,63.6540,77.2089,68.3042,54.8600,63.0259,78.3952,62.2896,61.4886,66.9287,70.4289,76.3498,76.0489,74.2226,71.4509,68.1797,68.3164,69.5568,72.3794,61.1136,66.9888,62.4343,63.2114,63.7031,61.1128,63.1814,75.1047,68.0790,55.3072,70.6613,69.5144,78.5912,74.7413,59.6075,74.3915,62.1397,65.9313,62.8842,66.1439,70.7309,67.6155,68.1195,65.4698,74.1191,67.3457,70.4491,67.1533,69.3006,70.6358,73.1450,66.0156,69.5586,65.4513,58.4429,70.0159,73.9867,62.6107,67.4053,66.5954,70.9644,69.1575,71.2614,61.7297,68.6848,71.3976,70.1751,71.7474,65.9393,69.4364,60.1611,62.3030,69.3957,69.6538,67.3646,62.3207,70.9696,64.0478,61.9607,63.6362,67.3101,71.2106,61.4448,70.4666,56.8131,66.4024,74.3540,67.9571,74.6851,67.8299,63.5229,72.4925,65.7570,66.1844,60.3931,66.6383,,,,,
19600,57.0189,67.6878,71.4083,71.5653,57.3245,58.7359,66.7093,71.3546,62.2389,71.5768,52.4263,69.6780,72.7563,74.9048,66.5455,56.6080,68.2211,73.2676,64.7382,61.0645,60.7617,59.5364,58.0054,72.2466,75.3738,72.2580,60.8420,56.1572,67.0831,66.6315,65.4706,73.0103,71.8226,57.2759,58.5921,66.9338,71.3288,79.9033,64.7645,57.6602,67.3715,57.6602,75.6353,74.6462,71.4514,70.8254,70.6896,64.9149,69.6454,62.3618,62.7923,64.3841,67.3402,71.5391,71.3196,64.2929,63.2504,77.5174,68.8689,55.1276,62.7889,78.2322,62.9775,61.6866,67.3317,70.4107,76.5625,75.9978,74.5460,71.3697,68.6369,67.9688,69.0930,72.0910,61.2806,67.0766,62.0258,63.1097,63.3116,60.0881,63.6520,75.2161,67.4254,52.6124,70.6570,68.6049,78.4638,74.9211,59.0089,74.2769,63.5351,66.7865,62.6470,66.6687,71.2208,67.5353,68.4720,65.4137,74.4295,67.3753,70.2869,67.1014,69.2447,70.2466,73.5869,65.5585,69.0638,65.9519,57.5207,69.6824,74.1346,61.6118,67.4550,66.3564,71.0921,69.3150,70.9384,60.5592,68.7180,71.7622,70.0255,71.9995,66.8885,68.4433,60.0356,62.3655,69.6959,69.4167,66.8958,62.3014,70.9130,63.4215,61.2978,63.2452,67.9827,71.3688,61.4153,70.2924,57.4967,66.8021,74.3667,68.8326,74.7232,67.7316,63.0513,72.2269,65.4613,65.9779,60.2364,66.2367,,,,,
19700,57.4093,68.3408,71.5116,71.5300,57.1321,58.7017,67.2063,71.5932,62.8355,71.0548,54.7302,70.0154,72.7859,74.7084,65.7803,57.4111,67.5798,73.5915,64.1675,60.5481,60.9798,59.6101,57.3633,72.1960,75.3721,72.5657,61.7823,55.7422,66.8218,66.6612,65.6779,72.8994,71.8684,57.4403,59.1023,67.0016,71.5758,79.9392,63.7796,57.4343,67.5390,57.4343,75.9814,74.4045,71.3141,71.4731,70.8291,65.2771,70.0256,65.1427,62.7307,64.2754,68.2614,71.7913,71.5179,65.4919,62.7626,77.8017,69.3571,55.3075,62.5531,77.9714,63.8706,62.2466,67.6884,70.4115,76.7583,75.9741,74.8482,71.2710,68.9961,67.6603,68.7371,71.7781,61.3771,67.1919,61.2376,63.0229,62.9008,58.9713,64.0921,75.2982,66.7007,56.3748,70.5780,67.5696,78.2511,75.0624,59.0827,74.1697,64.6594,67.5595,62.4077,67.1577,71.6796,67.4745,68.7991,65.4107,74.6810,67.2901,70.1159,67.0761,69.1437,69.8897,73.9552,65.1259,68.5715,66.4097,56.7153,69.3203,74.1813,60.5638,67.5050,66.1898,71.1168,69.4343,70.5875,59.1802,68.7402,72.1230,69.8198,72.2263,67.8879,67.3450,59.9360,62.5161,69.9890,69.1009,66.4297,62.3452,70.8587,62.5981,60.5976,62.8197,68.5497,71.4665,61.4051,70.0834,58.3396,67.1683,74.3859,69.5481,74.6245,67.6291,62.5429,71.9279,65.2008,65.8233,60.1277,65.7619,,,,,
19800,57.8340,68.8843,71.5336,71.4782,56.9821,58.7016,67.5888,71.7866,63.3580,70.5216,56.4470,70.3008,72.8086,74.4818,65.1381,58.1192,66.9100,73.8748,63.5310,59.9845,61.3676,59.9619,56.8767,72.1067,75.3809,72.8785,62.9322,55.3106,66.4756,66.6833,65.7919,72.7887,71.9156,59.2864,59.4968,67.0470,71.7941,79.9781,62.7814,57.2714,67.7507,57.2714,76.3705,74.1382,71.1860,71.9862,70.9296,65.4766,70.3930,67.2628,62.5512,64.1777,69.0994,72.0519,71.6205,66.5614,62.2081,78.0181,69.7679,55.5241,62.3123,77.6413,64.8371,63.0032,67.9983,70.4191,76.9165,75.9688,75.1003,71.1718,69.2722,67.3865,68.5432,71.4485,61.4838,67.3726,58.6367,62.9838,62.4619,57.8201,64.4992,75.3368,65.9007,59.8122,70.4006,66.3826,77.9743,75.1688,59.7499,74.0782,65.5663,68.2419,62.1777,67.6256,72.0991,67.4308,69.0855,65.4494,74.8927,67.2625,69.9361,67.0971,69.0028,69.5849,74.2503,64.7617,68.1427,66.8238,56.3327,68.9289,74.1427,59.5132,67.5537,66.1206,71.0358,69.5219,70.2132,57.5448,68.7444,72.4672,69.5561,72.4358,68.8994,66.1361,59.8674,62.7293,70.2840,68.9972,65.9753,62.4216,70.7959,61.5288,59.8709,62.3416,69.0078,71.5019,61.4518,69.8430,59.2505,67.5139,74.4133,70.0939,74.3931,67.5234,61.9898,71.5895,64.9770,65.7334,60.0692,65.2446,,,,,
19900,58.2913,69.2855,71.5011,71.4161,56.8564,58.5994,67.8650,71.9671,63.8129,69.9794,57.7887,70.5396,72.8269,74.2220,64.6030,58.7490,66.2076,74.0770,62.8381,59.2764,61.7610,60.5535,56.6835,71.9660,75.4035,73.1947,64.1076,54.8786,66.0222,66.6929,65.8348,72.6775,71.9677,61.2879,59.8220,67.0688,71.9902,80.0227,61.8496,57.1568,67.9915,57.1568,76.7799,73.8566,71.0668,72.3822,70.9972,65.5320,70.7491,68.8619,62.2616,64.0796,69.8382,72.3134,71.6422,67.5114,61.5792,78.1847,70.1050,55.8931,62.0650,77.2812,65.7810,63.8159,68.2640,70.4413,77.0436,75.9820,75.3359,71.0706,69.4790,67.1446,68.5484,71.1091,61.5760,67.6541,58.7982,62.9481,61.9850,56.7512,64.8732,75.3054,65.0024,61.9911,70.1135,64.9939,77.6567,75.2421,60.7625,74.0021,66.2982,68.8377,61.9695,68.0805,72.4706,67.4016,69.3303,65.5171,75.0731,67.2720,69.7660,67.1661,68.8266,69.3493,74.4796,64.5265,67.8227,67.2280,56.6318,68.4987,74.0310,58.5219,67.5992,66.1919,70.8504,69.5845,69.8166,55.6709,68.7223,72.7918,69.2288,72.6349,69.8831,64.8069,59.7971,62.9615,70.5765,68.6671,65.5464,62.5002,70.7141,60.1626,59.1432,61.8698,69.3574,71.4776,61.5753,69.5725,60.1630,67.8187,74.4504,70.5062,74.0399,67.4170,61.3823,71.1421,64.7864,65.7248,60.0562,64.6577,,,,,
20000,58.7795,69.5147,71.4518,71.3510,56.7520,58.3814,68.0456,72.1394,64.2045,69.4301,58.8618,70.7369,72.8427,73.9265,64.1445,59.3193,65.4582,74.2601,62.1017,58.4437,62.2909,61.3345,56.8931,71.7748,75.4433,73.5126,65.1366,54.4820,65.4393,66.6865,65.8204,72.5854,72.0276,62.9218,60.0768,67.0662,72.1615,80.0744,60.9709,57.0704,68.2477,57.0704,77.1883,73.5724,70.9573,72.6884,71.0296,65.4382,71.0843,70.0864,61.8636,63.9990,70.4432,72.5718,71.5967,68.3411,60.8760,78.2913,70.3728,56.3199,61.8078,76.9231,66.6330,64.5728,68.4902,70.4846,77.1462,76.0040,75.5526,70.9687,69.6325,66.9271,68.7533,70.7675,61.6547,68.0583,59.8604,62.9267,61.4193,55.9535,65.2181,75.2087,63.9845,63.3922,69.6936,63.3298,77.3196,75.2799,61.9648,73.9397,66.8899,69.3683,61.8303,68.5226,72.7856,67.3831,69.5347,65.6028,75.2479,67.3178,69.5929,67.2790,68.6195,69.2622,74.6405,64.4818,67.6817,67.6143,57.6512,68.0206,73.8907,57.7442,67.6391,66.3056,70.5680,69.6288,69.3964,53.7324,68.6625,73.0649,68.8360,72.8295,70.8211,63.3444,59.7283,63.2125,70.8786,68.3257,65.1464,62.5559,70.5887,58.4470,58.4598,61.3384,69.6029,71.3973,61.8050,69.2789,61.0403,68.1053,74.4982,70.8110,73.5737,67.3126,60.7075,70.7306,64.6273,65.8168,60.1095,63.9838,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
